City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,yueyang,29.3333,113.0919,16.80000000000001,59,36,4.32,CN,1699377481
285,chui,-33.6971,-53.4616,25.120000000000005,63,1,5.96,UY,1699377481
286,la passe,45.5549,-0.8967,10.129999999999995,82,54,4.46,FR,1699377481
287,baruun-urt,46.6806,113.2792,-16.189999999999998,90,38,4.32,MN,1699377481
288,tinaquillo,9.9186,-68.3047,30.04000000000002,69,50,2.6,VE,1699377481
289,svetlyy,54.675,20.1347,9.03000000000003,77,100,6.98,RU,1699377481
290,port pirie,-33.1833,138.0167,14.730000000000018,52,33,2.93,AU,1699377482
291,huaraz,-9.5333,-77.5333,19.200000000000045,52,44,2.17,PE,1699377244
292,irvine,33.6695,-117.8231,19.970000000000027,76,75,1.54,US,1699377341
293,sinabang,2.4803,96.3801,25.75,87,99,1.8,ID,1699377482
294,samdari,25.8167,72.5833,27.600000000000023,25,14,2.16,IN,1699377482
295,fale old settlement,-9.3852,-171.2468,28.79000000000002,73,99,6.19,TK,1699377483
296,hammerfest,70.6634,23.6821,1.25,93,75,3.09,NO,1699377483
297,najran,17.4924,44.1277,24.360000000000014,34,91,6.73,SA,1699377483
298,la ronge,55.1001,-105.2842,-0.8599999999999568,86,100,4.12,CA,1699377483
299,ust-nera,64.5667,143.2,-27.47999999999999,99,99,0.53,RU,1699377484
300,nuku'alofa,-21.1333,-175.2,22.189999999999998,100,20,2.06,TO,1699377484
301,arkhara,49.4212,130.0842,-14.569999999999993,96,34,1.34,RU,1699377484
302,nova sintra,14.8667,-24.7167,24.010000000000048,73,100,8.58,CV,1699377484
303,nabire,-3.3667,135.4833,24.720000000000027,93,98,1.55,ID,1699377484
304,mutuali,-14.8706,37.0044,30.760000000000048,35,54,0.75,MZ,1699377485
305,sendafa,9.15,39.0333,11.29000000000002,62,35,2.93,ET,1699377384
306,fort bragg,35.139,-79.006,26.010000000000048,39,0,2.06,US,1699377485
307,pointe-noire,-4.7761,11.8635,26.439999999999998,84,85,3.42,CG,1699377485
308,hanceville,34.0607,-86.7675,25.840000000000032,43,0,3.26,US,1699377486
309,acarau,-2.8856,-40.12,30.960000000000036,53,69,8.84,BR,1699377486
310,sao felix do xingu,-6.6447,-51.995,32.400000000000034,48,98,1.37,BR,1699377486
311,shenjiamen,29.9576,122.298,17.920000000000016,66,100,5.21,CN,1699377486
312,canmore,51.0834,-115.3521,4.060000000000002,75,100,3.6,CA,1699377487
313,yuzhno-kurilsk,44.0306,145.8556,11.32000000000005,91,63,10.19,RU,1699377255
314,diawara,15.022,-12.5437,38.05000000000001,11,24,4.17,SN,1699377487
315,swakopmund,-22.6833,14.5333,16.100000000000023,77,7,5.36,NA,1699377487
316,san patricio,28.017,-97.5169,28.930000000000007,49,100,5.75,US,1699377487
317,tazovsky,67.4667,78.7,-5.339999999999975,94,100,7.35,RU,1699377488
318,banda aceh,5.5577,95.3222,26.640000000000043,84,97,2.25,ID,1699377488
319,broken hill,-31.95,141.4333,19.920000000000016,60,6,9.6,AU,1699377488
320,az zawr,29.4425,48.2747,28.900000000000034,46,0,6.5,KW,1699377488
321,nuuk,64.1835,-51.7216,1.3400000000000318,37,75,4.12,GL,1699377488
322,badger,64.8,-147.5333,-8.069999999999993,86,100,0.0,US,1699377489
323,fuerte olimpo,-21.0415,-57.8738,43.69,13,13,4.3,PY,1699377489
324,mangrol,21.1167,70.1167,27.53000000000003,64,30,1.96,IN,1699377489
325,nova vicosa,-17.8919,-39.3719,25.79000000000002,56,48,5.73,BR,1699377489
326,labuan bajo,-8.4964,119.8877,25.49000000000001,81,29,2.63,ID,1699377489
